"uuid","created_at","last_updated","title","description","translation_status","native_name","native_about","address","geolocation","main_photo_url","inventory_supplier","external_id","food_chain","website","rating","number_of_reviews","categories_list","external_city_name","city_id","native_language"
"9046505d-a8da-4127-8b4d-c5729dab9028",2022-03-28 13:15:39.568 +0300,2022-04-04 01:22:40.648 +0300,Manhattan Slice Pizza,"",,,,"Hardenbergpl. 2, 10623 Berlin, Germany",POINT (13.333420499999999 52.5062928),https://lh5.googleusercontent.com/p/AF1QipP4YenKxNeSkLN88lUCf2VF3Asmlm1VjdwnNL9A=w1188-h552-k-no,Google Places,ChIJAQBAmXhQqEcRlLBGqAE2s-o,,,4.1,188,"'{""restaurant""}'",Berlin,,
"772f03cd-2545-481d-a096-1c9331848652",2022-03-28 13:15:39.568 +0300,2022-04-04 01:22:40.648 +0300,Pizza Palast,"",,,,"Alt-Moabit 106, 10559 Berlin, Germany",POINT (13.3487897 52.5244891),https://lh5.googleusercontent.com/p/AF1QipNTbn7BnbsfE5GH1wumXMZYuENAqteewH358rJ5=w978-h552-k-no,Google Places,ChIJob8nQW9RqEcRiBwjSLLY7vI,,https://www.pizza-palast-berlin.de/,4.8,156,"'{""restaurant""}'",Berlin,,
"4e3b0e5a-d4da-470c-8610-04075340c4f1",2022-04-04 01:56:59.589 +0300,2022-04-04 01:22:40.648 +0300,Deli Pizza - Frische Pizza in der Foodfactory Berlin,"",,,,"Washingtonpl. 3, 10557 Berlin, Germany",POINT (13.3691979 52.5236065),https://lh5.googleusercontent.com/p/AF1QipNMCESLndA3rbqe5PM73gXgrjf4X7Qo9iV4SNJD=w480-h636-k-no,Google Places,ChIJa2LM0FJRqEcRcz8faLyXaNE,,https://www.foodfactory-berlin.de/,5.0,1,"'{""restaurant""}'",Berlin,,
eb401cf7-ac2f-46b5-876d-14b605e18783,2022-03-28 13:15:39.190 +0300,2022-04-04 01:22:40.648 +0300,Don Giovanni,"Relaxed stop for traditional staples. Pizzas, steak & pasta, plus beer & wine, in a brasserie-style space with sidewalk tables.",,,,"Alt-Moabit 129, 10557 Berlin, Germany",POINT (13.359693799999999 52.5230951),https://lh5.googleusercontent.com/p/AF1QipNe3R-uQ5MIVWgvbHLrg3oWDuhpVdlLMytKa5U=w480-h636-k-no,Google Places,ChIJoU-kIqNRqEcRA5Np5pDcGc4,,https://www.don-giovanni-berlin.de/,4.1,914,"'{""restaurant""}'",Berlin,,
"145fbfe2-9636-4ed7-8a43-1ab37ffdce5b",2022-03-28 13:15:40.446 +0300,2022-04-04 01:22:40.648 +0300,Ron Telesky Canadian Pizza,"",,,,"Dieffenbachstraße 62, 10967 Berlin, Germany",POINT (13.415150899999999 52.4930855),https://lh5.googleusercontent.com/p/AF1QipNJyI3M0yz8DiUJCuvS5ppbkbiNqAf6ZL-JBmDE=w480-h582-k-no,Google Places,ChIJu2hOG8xPqEcRHxmZrQAbGcw,,https://ron-telesky-canadian-pizza.business.site/,4.5,400,"'{""restaurant""}'",Berlin,,
"9ef69cfe-2015-4dde-b335-d7777e818dba",2022-03-28 13:15:40.446 +0300,2022-04-04 01:22:40.648 +0300,Piccola Romantica,"",,,,"Bergmannstraße 19, 10961 Berlin, Germany",POINT (13.3924091 52.4891356),https://lh5.googleusercontent.com/p/AF1QipPPQoXGu-t9HdMMVfMX475Kg0Isl5f7a_Ox6reg=w1134-h552-k-no,Google Places,ChIJ88DblzNOqEcRZT_6s_ee5qY,,https://piccola-romanticaberlin.de/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_term=discount&utm_content=10,4.1,112,"'{""restaurant""}'",Berlin,,
b22e3034-88c8-4498-bef3-94f271983c5a,2022-04-04 01:56:59.590 +0300,2022-04-04 01:22:40.648 +0300,Özel Döner Pizza,"",,,,"Alt-Moabit 84a, 10555 Berlin, Germany",POINT (13.340249799999999 52.5255576),https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ErMrg304A42anD30jkLQc304RdPw&cb_client,Google Places,ChIJJ3QQZ25RqEcRI1maFz2RUZc,,,5.0,1,"'{""restaurant""}'",Berlin,,
cf8dfc87-fcbe-487e-b313-e7d8255408de,2022-03-28 13:15:41.620 +0300,2022-04-04 01:22:40.648 +0300,Belluno Cuffaro Pizza,"",,,,"Kollwitzstraße 66, 10435 Berlin, Germany",POINT (13.4182843 52.536074299999996),https://lh5.googleusercontent.com/p/AF1QipOlpjvv9g_PjJ5f1TR9Ef_yy7cnFWLZP8SYp2qH=w480-h852-k-no,Google Places,ChIJLRumKgJOqEcRT31huxoe43k,,,4.0,25,"'{""restaurant""}'",Berlin,,
"95b8c3b3-5d42-4f37-a901-f6ae4f2f406d",2022-04-04 01:57:06.350 +0300,2022-04-04 01:22:40.648 +0300,NORDSEE Berlin Wilmersdorfer Arcaden,"",,,,"Wilmersdorfer Arcaden, Wilmersdorfer Str. 46, 10627 Berlin, Germany",POINT (13.304722 52.509274),https://lh5.googleusercontent.com/p/AF1QipPaTACjwb76sPBdwCcAIShJ0xj55iE3V5Y2cxs=w552-h552-k-no,Google Places,ChIJ5exRud9QqEcR0_uLh_7DWt8,,http://www.nordsee.de/,3.8,310,"'{""restaurant""}'",Berlin,,
"58b23294-4343-4ba2-b929-db4cd7f65e4d",2022-04-04 01:57:06.350 +0300,2022-04-04 01:22:40.648 +0300,Sapa Sushi,"Polished setup for pan-Asian flavors. Teriyaki dishes, pho soups & curries, plus a sushi menu, in a glitzy space with mirrors & plants.",,,,"Charlottenstraße 63, Kronenstraße 54, 10117 Berlin, Germany",POINT (13.391262999999999 52.5115002),https://lh5.googleusercontent.com/p/AF1QipMnWR2trMReuHnXd14tP8ooToRJLXH6HXDfJq0=w978-h552-k-no,Google Places,ChIJkVoNkNBRqEcRWaRFZfK1ysM,,https://sapa-berlin.de/,4.4,494,"'{""restaurant""}'",Berlin,,
"20fd5410-7e89-44ff-91f1-6680b34ee3a7",2022-04-04 01:57:06.350 +0300,2022-04-04 01:22:40.648 +0300,Ngon Restaurant Berlin,"Stylish choice for Vietnamese classics. Chic Vietnamese eatery serving soups, noodles, seafood & meat dishes, plus cocktails & draft beer.",,,,"Rathausstraße 23, 10178 Berlin, Germany",POINT (13.4051335 52.517464499999996),https://lh5.googleusercontent.com/p/AF1QipO9H_9LfaBi7pjR7-GL3kBXTlmXRXXzoYXP6LTA=w732-h552-k-no,Google Places,ChIJN200oCBOqEcRRVxtZuPAMbA,,http://www.ngonberlin.de/,4.4,1007,"'{""restaurant""}'",Berlin,,
"2ab68c4d-d299-4654-a4de-61fb0f405819",2022-04-04 01:57:06.350 +0300,2022-04-04 01:22:40.648 +0300,Cevicheria,"Sleek setting for Peruvian seafood. Ceviche & grilled seafood, plus pisco sours, in a pared-back dining room or at outdoor tables.",,,,"Dresdener Str. 120, 10999 Berlin, Germany",POINT (13.416522599999999 52.5012817),https://lh5.googleusercontent.com/p/AF1QipPezb0emwHNPIk29-XWKW3LZ0YH2245ZWsfuujQ=w978-h552-k-no,Google Places,ChIJ5x9cqzNOqEcRNqsdhEOOV2E,,http://cevicheria-berlin.com/,4.3,348,"'{""restaurant""}'",Berlin,,
"44545e54-8737-4911-a8ee-bb9db315d290",2022-03-28 13:15:44.351 +0300,2022-04-04 01:22:40.648 +0300,PANE E VINO,"",,,,"FRIEDRICHSTRAßE 134 Ecke, Ziegelstraße, 10117 Berlin, Germany",POINT (13.387355999999999 52.523291),https://lh5.googleusercontent.com/p/AF1QipMvvbi7ATu1Pgp58vI8q_GleeH1y6H3M6tyFg-R=w1086-h552-k-no,Google Places,ChIJYxI0dsJRqEcRwjC0TM-_KnA,,http://paneevino-berlin.de/,3.7,264,"'{""restaurant""}'",Berlin,,
ccece353-f556-4331-8c81-6e63baf29b84,2022-04-04 01:56:35.326 +0300,2022-04-04 01:22:40.648 +0300,Restaurant im Hamburger Bahnhof,"Smart cafe-restaurant using organic fare. Cafe-restaurant with an Austro-German menu made with seasonal, organic ingredients & fresh bread.",,,,"Invalidenstraße 50-51, 10557 Berlin, Germany",POINT (13.3727837 52.528256799999994),https://lh5.googleusercontent.com/p/AF1QipO0mv0hjJHh8Mm22HjTA2rkU60G0Ywp1CLGbjDu=w732-h552-k-no,Google Places,ChIJe6KRgZZRqEcRNpQ5YNwNaKI,,http://www.restaurant-hamburger-bahnhof.de/,3.5,357,"'{""cafe""}'",Berlin,219,
"932ce439-de4a-4bc4-894f-db1bd40080fe",2022-04-04 01:57:06.351 +0300,2022-04-04 01:22:40.648 +0300,Eden,Hip eatery for Vietnamese cuisine. Trendy restaurant with a terrace serving traditional Vietnamese dishes in a plant-filled setting.,,,,"Rosenstraße 19, 10178 Berlin, Germany",POINT (13.4048327 52.5219163),https://lh5.googleusercontent.com/p/AF1QipO8Hqq0ppTmgqV8G3ncu0tDtgVPzEEBU1Y2iw0Z=w732-h552-k-no,Google Places,ChIJ4cf4c-BRqEcRwrzvov9brUs,,https://www.eden-foodgarden.com/,4.3,1164,"'{""restaurant""}'",Berlin,,
